Date,PX_LAST
6/19/01,424.042
6/20/01,432.321
6/21/01,435.211
6/22/01,437.595
6/25/01,435.752
6/26/01,438.406
6/27/01,436.125
6/28/01,428.474
6/29/01,437.62
7/2/01,431.336
7/3/01,428.655
7/4/01,429.007
7/5/01,431.005
7/6/01,432.878
7/9/01,434.538
7/10/01,435.604
7/11/01,437.427
7/12/01,441.466
7/13/01,446.01
7/16/01,443.324
7/17/01,446.445
7/18/01,453.301
7/19/01,463.261
7/20/01,460.908
7/23/01,470.229
7/24/01,457.918
7/25/01,447.625
7/26/01,443.694
7/27/01,447.381
7/30/01,449.191
7/31/01,444.081
8/1/01,443.194
8/2/01,436.461
8/3/01,435.15
8/6/01,430.81
8/7/01,432.936
8/8/01,442.526
8/9/01,430.693
8/10/01,435.674
8/13/01,441.181
8/14/01,441.897
8/15/01,436.406
8/16/01,435.319
8/20/01,437.869
8/21/01,437.197
8/22/01,441.978
8/23/01,439.69
8/24/01,441.219
8/27/01,441.307
8/28/01,440.94
8/29/01,437.841
8/30/01,434.318
8/31/01,435.552
9/3/01,432.772
9/4/01,441.163
9/5/01,442.232
9/6/01,448.69
9/7/01,443.806
9/10/01,443.601
9/11/01,445.477
9/12/01,429.847
9/13/01,432.567
9/14/01,425.653
9/17/01,407.25
9/18/01,413.833
9/19/01,422.45
9/20/01,422.346
9/21/01,414.427
9/24/01,410.394
9/25/01,409.087
9/26/01,401.018
9/27/01,395.044
9/28/01,392.479
10/1/01,388.675
10/2/01,377.232
10/3/01,371.488
10/4/01,381.241
10/5/01,381.588
10/8/01,367.073
10/9/01,369.797
10/10/01,368.297
10/11/01,370.589
10/12/01,378.598
10/16/01,378.88
10/17/01,381.369
10/18/01,385.165
10/19/01,387.854
10/22/01,391.76
10/23/01,391.785
10/24/01,385.961
10/25/01,390.435
10/26/01,387.822
10/29/01,384.328
10/30/01,378.362
10/31/01,383.735
11/1/01,381.999
11/2/01,380.652
11/5/01,375.214
11/6/01,375.429
11/7/01,377.501
11/8/01,381.837
11/9/01,377.34
11/12/01,371.362
11/13/01,369.248
11/14/01,372.789
11/15/01,378.377
11/16/01,378.67
11/19/01,382.787
11/20/01,381.838
11/21/01,382.094
11/22/01,380.834
11/23/01,382.704
11/26/01,381.428
11/27/01,380.976
11/28/01,382.901
11/29/01,380.193
11/30/01,380.308
12/3/01,380.8
12/4/01,377.557
12/5/01,377.942
12/6/01,379.355
12/7/01,377.211
12/10/01,373.863
12/11/01,371.246
12/12/01,372.853
12/13/01,374.69
12/19/01,375.074
12/20/01,377.828
12/21/01,378.251
12/26/01,377.968
12/27/01,379.967
12/28/01,392.036
1/2/02,383.458
1/3/02,381.512
1/4/02,385.201
1/7/02,388.724
1/8/02,387.694
1/9/02,391.498
1/10/02,402.069
1/11/02,411.775
1/14/02,415.837
1/15/02,421.254
1/16/02,423.585
1/17/02,425.042
1/18/02,426.411
1/21/02,426.151
1/22/02,428.472
1/23/02,433.975
1/24/02,445.856
1/25/02,452.459
1/28/02,441.567
1/29/02,446.84
1/30/02,444.424
1/31/02,451.636
2/1/02,454.282
2/4/02,451.172
2/5/02,450.49
2/6/02,446.21
2/7/02,433.17
2/8/02,436.98
2/11/02,438.847
2/13/02,436.789
2/14/02,439.402
2/15/02,449.381
2/18/02,462.349
2/19/02,460.695
2/20/02,458.458
2/21/02,459.387
2/25/02,449.316
2/26/02,448.688
2/27/02,454.502
2/28/02,453.246
3/1/02,452.162
3/4/02,455.187
3/5/02,459.271
3/6/02,476.961
3/7/02,472.39
3/8/02,475.115
3/11/02,474.026
3/12/02,469.366
3/13/02,474
3/14/02,467.991
3/18/02,469.676
3/19/02,471.643
3/20/02,477.286
3/21/02,480.647
3/22/02,484.732
3/25/02,479.428
3/26/02,481.862
3/27/02,481.286
3/28/02,481.775
4/1/02,486.668
4/2/02,489.089
4/3/02,488.157
4/4/02,502.5
4/5/02,508.994
4/8/02,515.08
4/9/02,520.001
4/10/02,533.808
4/11/02,531.513
4/12/02,539.27
4/15/02,549.838
4/16/02,551.607
4/17/02,542.274
4/18/02,534.838
4/19/02,532.781
4/22/02,535.685
4/23/02,543.061
4/24/02,544.262
4/25/02,544.587
4/26/02,539.963
4/29/02,525.859
4/30/02,534.062
5/1/02,534.72
5/2/02,539.7
5/3/02,544.083
5/6/02,539.808
5/7/02,544.886
5/8/02,547.741
5/10/02,543.905
5/13/02,537.144
5/14/02,538.628
5/15/02,538.887
5/16/02,529.745
5/17/02,531.578
5/20/02,526.934
5/21/02,525.335
